lib total_size num_regions memsync_time rcuda_time local_time nvidia_time other_time
mrcuda 134217728 4 114.948000 71.542000 43.406000 25.199000 18.207000
mrcuda 134217728 4 110.794000 69.342000 41.452000 24.897000 16.555000
mrcuda 268435456 4 234.856000 152.943000 81.913000 56.011000 25.902000
mrcuda 268435456 4 225.995000 146.899000 79.096000 53.644000 25.452000
mrcuda 268435456 4 236.072000 159.810000 76.262000 68.996000 7.266000
mrcuda 268435456 4 231.247000 156.048000 75.199000 67.935000 7.264000
mrcuda 268435456 4 236.393000 157.137000 79.256000 53.726000 25.530000
mrcuda 268435456 4 225.248000 146.332000 78.916000 53.107000 25.809000
mrcuda 268435456 4 238.730000 164.085000 74.645000 67.368000 7.277000
mrcuda 268435456 4 223.532000 145.549000 77.983000 52.418000 25.565000
mrcuda 268435456 4 237.035000 155.062000 81.973000 56.408000 25.565000
mrcuda 268435456 4 233.799000 155.648000 78.151000 70.861000 7.290000
mrcuda 536870912 4 486.770000 360.408000 126.362000 111.975000 14.387000
mrcuda 536870912 4 465.610000 315.544000 150.066000 100.521000 49.545000
mrcuda 536870912 4 472.317000 321.161000 151.156000 101.322000 49.834000
mrcuda 536870912 4 442.889000 293.686000 149.203000 99.519000 49.684000
mrcuda 536870912 4 481.301000 355.161000 126.140000 111.297000 14.843000
mrcuda 536870912 4 484.150000 329.640000 154.510000 104.755000 49.755000
mrcuda 536870912 4 467.191000 314.220000 152.971000 103.308000 49.663000
mrcuda 536870912 4 496.618000 341.736000 154.882000 105.121000 49.761000
mrcuda 536870912 4 481.554000 357.254000 124.300000 109.938000 14.362000
mrcuda 536870912 4 479.857000 350.472000 129.385000 114.999000 14.386000
mrcuda 1048576 8 5.217000 4.858000 0.359000 0.340000 0.019000
mrcuda 1048576 8 5.968000 5.675000 0.293000 0.272000 0.021000
mrcuda 1048576 8 1.227000 1.007000 0.220000 0.204000 0.016000
mrcuda 1048576 8 1.202000 0.988000 0.214000 0.200000 0.014000
mrcuda 1048576 8 1.206000 0.999000 0.207000 0.195000 0.012000
mrcuda 1048576 8 1.189000 0.976000 0.213000 0.196000 0.017000
mrcuda 1048576 8 1.210000 0.988000 0.222000 0.207000 0.015000
mrcuda 1048576 8 4.642000 4.381000 0.261000 0.244000 0.017000
mrcuda 1048576 8 1.208000 1.003000 0.205000 0.190000 0.015000
mrcuda 1048576 8 5.976000 5.438000 0.538000 0.505000 0.033000
mrcuda 2097152 8 3.883000 3.486000 0.397000 0.380000 0.017000
mrcuda 2097152 8 5.846000 5.381000 0.465000 0.445000 0.020000
mrcuda 2097152 8 1.896000 1.548000 0.348000 0.332000 0.016000
mrcuda 2097152 8 1.917000 1.567000 0.350000 0.336000 0.014000
mrcuda 2097152 8 4.152000 3.691000 0.461000 0.442000 0.019000
mrcuda 2097152 8 4.265000 3.910000 0.355000 0.338000 0.017000
mrcuda 2097152 8 1.919000 1.528000 0.391000 0.373000 0.018000
mrcuda 2097152 8 1.831000 1.480000 0.351000 0.334000 0.017000
mrcuda 2097152 8 1.880000 1.526000 0.354000 0.338000 0.016000
mrcuda 2097152 8 1.922000 1.571000 0.351000 0.333000 0.018000
mrcuda 4194304 8 2.980000 2.363000 0.617000 0.597000 0.020000
mrcuda 4194304 8 2.966000 2.347000 0.619000 0.599000 0.020000
mrcuda 4194304 8 3.228000 2.541000 0.687000 0.668000 0.019000
mrcuda 4194304 8 3.153000 2.472000 0.681000 0.664000 0.017000
mrcuda 4194304 8 3.166000 2.502000 0.664000 0.643000 0.021000
mrcuda 4194304 8 3.095000 2.486000 0.609000 0.591000 0.018000
mrcuda 4194304 8 3.041000 2.447000 0.594000 0.579000 0.015000
mrcuda 4194304 8 2.948000 2.325000 0.623000 0.608000 0.015000
mrcuda 4194304 8 3.196000 2.511000 0.685000 0.664000 0.021000
mrcuda 4194304 8 3.110000 2.456000 0.654000 0.636000 0.018000
mrcuda 8388608 8 6.444000 5.014000 1.430000 1.356000 0.074000
mrcuda 8388608 8 6.294000 4.902000 1.392000 1.325000 0.067000
mrcuda 8388608 8 6.066000 4.780000 1.286000 1.220000 0.066000
mrcuda 8388608 8 6.081000 4.823000 1.258000 1.192000 0.066000
mrcuda 8388608 8 6.657000 5.059000 1.598000 1.530000 0.068000
mrcuda 8388608 8 6.593000 5.025000 1.568000 1.497000 0.071000
mrcuda 8388608 8 5.994000 4.751000 1.243000 1.180000 0.063000
mrcuda 8388608 8 6.272000 4.917000 1.355000 1.287000 0.068000
mrcuda 8388608 8 6.542000 5.116000 1.426000 1.358000 0.068000
mrcuda 8388608 8 6.416000 4.991000 1.425000 1.362000 0.063000
mrcuda 16777216 8 13.382000 10.197000 3.185000 3.077000 0.108000
mrcuda 16777216 8 12.906000 9.827000 3.079000 2.964000 0.115000
mrcuda 16777216 8 12.948000 9.935000 3.013000 2.903000 0.110000
mrcuda 16777216 8 13.304000 9.888000 3.416000 3.128000 0.288000
mrcuda 16777216 8 12.979000 9.841000 3.138000 3.026000 0.112000
mrcuda 16777216 8 13.641000 10.303000 3.338000 3.291000 0.047000
